collocation;count;count_nested;length;lambda;z
away from;17;0;2;3.95997551751264;14.5139315660221
i knew;36;0;2;3.929326223062504;14.418392041431751
of course;51;0;2;5.317176452208534;14.341185283406949
miss stoner;15;0;2;8.643630596212066;14.314293552966088
we may;23;0;2;3.218518874905597;14.308507803206385
i can;46;0;2;2.4926400702791454;14.267236855401276
look at;18;0;2;3.937092034575986;14.224623078004916
tell you;24;0;2;3.37760080048539;14.202088759131476
will find;13;0;2;4.338104546856484;14.197051835582636
asked holmes;12;0;2;4.7505809676562185;14.110140797028006
then i;37;0;2;2.5662541391411593;14.046618510896032
i cannot;37;0;2;4.350688091861556;14.042403474520906
should like;12;0;2;4.442642253250276;14.039191198465776
my father;21;0;2;3.6409229950271427;14.03037668905075
two years;10;0;2;4.882576270432622;14.030015405011012
told me;16;0;2;4.256492494151761;14.026568165402788
as well;20;0;2;3.6182036686914225;13.9688170737313
may have;28;0;2;2.8705658089133816;13.956370808268707
he asked;23;0;2;3.5734081227380656;13.930020375965396
through the;47;0;2;3.023448459125315;13.911104867078818
have already;18;0;2;4.195715597177951;13.866954221064299
side of;30;0;2;3.890549329250768;13.780293620182887
i am;182;0;2;7.406352437807236;13.716136134138953
she was;46;0;2;2.1715042540907015;13.710422142116276
it seemed;23;0;2;3.492774382482846;13.671572882611258
in my;77;0;2;1.663017639230608;13.662855198486472
from his;45;0;2;2.1657444026465913;13.642088696317225
front of;32;0;2;4.4203156798837835;13.624942728216734
doubt that;22;0;2;3.851601282923818;13.598435522404936
no one;21;0;2;3.1445373427365158;13.593855177582551
my companion;22;0;2;5.469786580499689;13.543031606003114
when she;20;0;2;3.1952210134370187;13.484494894715178
neville st;16;0;2;9.342570262674585;13.484350339549026
could hardly;11;0;2;4.604627653522863;13.44428734676362
me to;64;0;2;1.8398852231174523;13.431089958724318
then he;28;0;2;2.7493493437668723;13.428680365835483
just as;19;0;2;3.3265628680097254;13.316618800597485
who is;33;0;2;2.493614861496573;13.311579422607803
waiting for;13;0;2;5.247292681876889;13.282307958296984
to go;33;0;2;2.8236909450802785;13.236137301383701
is not;48;0;2;2.0244911114462045;13.224230761974173
young man;12;0;2;4.1646939632307864;13.206781655872035
how did;11;0;2;4.238617239318288;13.178507184526552
upon his;42;0;2;2.159536130816524;13.16675347585283
remarked holmes;10;0;2;5.012898661181488;13.15421578449905
not know;21;0;2;3.081084781918166;13.146672361933954
who has;18;0;2;3.274931036214945;13.14211012662504
you must;28;0;2;2.743047400591296;13.140936289278251
come back;11;0;2;4.223518650996934;13.138739703130906
my mind;18;0;2;3.7083799977314387;13.12995418902305
i found;35;0;2;2.713070676380018;13.127541288456326
here is;21;0;2;3.2566171947764615;13.093127970693946
to say;32;0;2;2.839922947302156;13.077113975405716
would have;32;0;2;2.45642448210343;13.048395806854355
her husband;11;0;2;5.478595676740848;13.03602454807908
have heard;21;0;2;3.157482584338665;13.032806781966846
he remarked;19;0;2;3.8295185408859878;12.97227396327284
enough to;28;0;2;4.269509680955396;12.898605208408354
in this;48;0;2;2.00528188801057;12.897705707050434
made up;13;0;2;3.840711128029259;12.893172449566238
said i;49;0;2;1.9703985581355528;12.884926117991837
saw him;14;0;2;3.766891067733852;12.879959278837914
the window;42;0;2;3.1095320976324468;12.822504691652952
with the;136;0;2;1.2111079888237448;12.765572958372655
is quite;20;0;2;3.231488824080052;12.718643371517857
so far;11;0;2;4.304090326146488;12.714422404365951
he cried;18;0;2;3.8873683349090227;12.67602063181828
one side;12;0;2;3.954182657021252;12.642115856213346
he would;37;0;2;2.2258381046162152;12.624582787067766
one or;14;0;2;3.5860981610102134;12.609897546311165
know that;27;0;2;2.708734872185552;12.603497223320426
this is;40;0;2;2.11123304216212;12.601440928656405
will not;23;0;2;2.780804032332133;12.594309885766545
had no;27;0;2;2.5769006754421637;12.585098227036628
